,area_type,location,total_sqft,bath,balcony,price,BHK
38,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5
39,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
40,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2.0,233.0,6
41,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5
42,Plot  Area,5th Block Hbr Layout,1200.0,6.0,2.0,250.0,6
43,Plot  Area,5th Block Hbr Layout,1200.0,6.0,1.0,220.0,5
44,Plot  Area,5th Block Hbr Layout,1200.0,4.0,2.0,205.0,4
45,Plot  Area,5th Block Hbr Layout,1200.0,5.0,2.0,205.0,5
46,Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2
47,Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3
48,Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2
49,Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2
50,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
51,Built-up  Area,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1
52,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
53,Built-up  Area,5th Phase JP Nagar,1550.0,3.0,3.0,75.0,3
54,Built-up  Area,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2
55,Built-up  Area,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2
56,Built-up  Area,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2
57,Plot  Area,5th Phase JP Nagar,1200.0,7.0,3.0,250.0,8
58,Plot  Area,5th Phase JP Nagar,1000.0,4.0,2.0,130.0,4
59,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
60,Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2
61,Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2
62,Super built-up  Area,5th Phase JP Nagar,1485.0,2.0,2.0,67.0,3
63,Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,2.0,110.0,5
64,Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2
65,Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2
66,Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3
67,Super built-up  Area,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1
68,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2
69,Super built-up  Area,5th Phase JP Nagar,1240.0,3.0,2.0,60.0,3
70,Super built-up  Area,5th Phase JP Nagar,1485.0,2.0,1.0,66.0,3
71,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2
72,Super built-up  Area,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5
73,Super built-up  Area,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2
74,Super built-up  Area,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2
75,Super built-up  Area,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2
76,Super built-up  Area,5th Phase JP Nagar,1450.0,2.0,2.0,73.0,3
77,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
78,Built-up  Area,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3
79,Built-up  Area,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2
80,Built-up  Area,6th Phase JP Nagar,600.0,1.0,1.0,75.0,1
81,Built-up  Area,6th Phase JP Nagar,750.0,1.0,1.0,105.0,1
82,Plot  Area,6th Phase JP Nagar,1650.0,6.0,2.0,135.0,8
83,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2
84,Super built-up  Area,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2
85,Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4
86,Super built-up  Area,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2
87,Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2
88,Super built-up  Area,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3
89,Super built-up  Area,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3
90,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2
91,Super built-up  Area,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2
92,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
93,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
94,Built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
95,Built-up  Area,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
96,Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2
97,Built-up  Area,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2
98,Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3
99,Built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3
100,Built-up  Area,7th Phase JP Nagar,3300.0,4.0,3.0,160.0,3
101,Built-up  Area,7th Phase JP Nagar,1460.0,3.0,1.0,70.0,3
102,Built-up  Area,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2
103,Built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
104,Built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2
105,Built-up  Area,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2
106,Built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2
107,Built-up  Area,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2
108,Built-up  Area,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3
109,Built-up  Area,7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3
110,Built-up  Area,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2
111,Plot  Area,7th Phase JP Nagar,1500.0,3.0,1.0,170.0,3
112,Plot  Area,7th Phase JP Nagar,1500.0,5.0,3.0,220.0,4
113,Plot  Area,7th Phase JP Nagar,1045.0,6.0,3.0,160.0,6
114,Plot  Area,7th Phase JP Nagar,1200.0,2.0,2.0,200.0,2
115,Plot  Area,7th Phase JP Nagar,1800.0,6.0,3.0,270.0,5
116,Plot  Area,7th Phase JP Nagar,500.0,1.0,0.0,70.0,1
117,Plot  Area,7th Phase JP Nagar,3200.0,4.0,2.0,350.0,4
118,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
119,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
120,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
121,Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3
122,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
123,Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
124,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
125,Super built-up  Area,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2
126,Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2
127,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2
128,Super built-up  Area,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4
129,Super built-up  Area,7th Phase JP Nagar,1250.0,3.0,2.0,65.0,3
130,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
131,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
132,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
133,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2
134,Super built-up  Area,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2
135,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
136,Super built-up  Area,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3
137,Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2
138,Super built-up  Area,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3
139,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2
140,Super built-up  Area,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2
141,Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3
142,Super built-up  Area,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2
143,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2
144,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
145,Super built-up  Area,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2
146,Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3
147,Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3
148,Super built-up  Area,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2
149,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2
150,Super built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2
151,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3
152,Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3
153,Super built-up  Area,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2
154,Super built-up  Area,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3
155,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
156,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2
157,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
158,Super built-up  Area,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2
159,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
160,Super built-up  Area,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3
161,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2
162,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
163,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
164,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2
165,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3
166,Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2
167,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3
168,Super built-up  Area,7th Phase JP Nagar,1515.0,2.0,1.0,76.0,3
169,Super built-up  Area,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3
170,Super built-up  Area,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3
171,Super built-up  Area,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
172,Super built-up  Area,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
173,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
174,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
175,Super built-up  Area,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1
176,Super built-up  Area,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2
177,Super built-up  Area,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3
178,Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
179,Super built-up  Area,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
180,Super built-up  Area,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
181,Super built-up  Area,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2
182,Built-up  Area,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4
183,Built-up  Area,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3
184,Built-up  Area,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4
185,Built-up  Area,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2
186,Built-up  Area,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2
187,Built-up  Area,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5
188,Plot  Area,8th Phase JP Nagar,660.0,4.0,2.0,90.0,4
189,Plot  Area,8th Phase JP Nagar,1200.0,8.0,2.0,225.0,9
190,Plot  Area,8th Phase JP Nagar,950.0,3.0,2.0,130.0,3
191,Plot  Area,8th Phase JP Nagar,600.0,5.0,2.0,99.0,4
192,Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
193,Super built-up  Area,8th Phase JP Nagar,1240.0,3.0,2.0,43.5,3
194,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
195,Super built-up  Area,8th Phase JP Nagar,1230.0,2.0,2.0,43.5,3
196,Super built-up  Area,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3
197,Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
198,Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3
199,Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2
200,Super built-up  Area,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2
201,Super built-up  Area,8th Phase JP Nagar,1275.0,2.0,2.0,41.5,3
202,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
203,Super built-up  Area,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4
204,Super built-up  Area,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
205,Super built-up  Area,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2
206,Super built-up  Area,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3
207,Super built-up  Area,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2
208,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
209,Super built-up  Area,8th Phase JP Nagar,1605.0,2.0,2.0,65.0,3
210,Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3
211,Super built-up  Area,8th Phase JP Nagar,1368.0,2.0,1.0,54.71,3
212,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
213,Super built-up  Area,8th Phase JP Nagar,1224.0,2.0,2.0,48.95,3
214,Super built-up  Area,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2
215,Super built-up  Area,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2
216,Super built-up  Area,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2
217,Super built-up  Area,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3
218,Super built-up  Area,8th Phase JP Nagar,1296.0,2.0,2.0,51.83,3
219,Super built-up  Area,8th Phase JP Nagar,1275.0,3.0,2.0,45.0,3
220,Super built-up  Area,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2
221,Super built-up  Area,8th Phase JP Nagar,1269.0,2.0,3.0,50.75,3
222,Super built-up  Area,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3
223,Super built-up  Area,8th Phase JP Nagar,1500.0,2.0,3.0,55.0,3
224,Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,85.0,3
225,Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2
226,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4
227,Built-up  Area,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2
228,Built-up  Area,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2
229,Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,93.0,3
230,Built-up  Area,9th Phase JP Nagar,1300.0,2.0,2.0,58.0,3
231,Built-up  Area,9th Phase JP Nagar,1900.0,4.0,2.0,80.0,4
232,Built-up  Area,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2
233,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,2.0,300.0,4
234,Plot  Area,9th Phase JP Nagar,1200.0,3.0,2.0,188.0,4
235,Plot  Area,9th Phase JP Nagar,1200.0,5.0,2.0,160.0,5
236,Plot  Area,9th Phase JP Nagar,600.0,3.0,2.0,79.0,3
237,Plot  Area,9th Phase JP Nagar,600.0,3.0,2.0,85.0,3
238,Plot  Area,9th Phase JP Nagar,1200.0,8.0,2.0,135.0,8
239,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
240,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
241,Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2
242,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2
243,Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2
244,Super built-up  Area,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2
245,Super built-up  Area,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2
246,Super built-up  Area,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2
247,Super built-up  Area,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3
248,Super built-up  Area,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3
249,Super built-up  Area,9th Phase JP Nagar,1571.0,3.0,2.0,65.0,3
250,Super built-up  Area,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2
251,Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2
252,Super built-up  Area,AECS Layout,1028.0,2.0,1.0,42.0,2
253,Super built-up  Area,AECS Layout,1199.0,2.0,2.0,65.0,2
254,Super built-up  Area,AECS Layout,1080.0,2.0,2.0,55.0,2
255,Super built-up  Area,AECS Layout,1123.0,2.0,2.0,64.0,2
256,Super built-up  Area,AECS Layout,1308.0,2.0,1.0,60.0,2
257,Super built-up  Area,AECS Layout,1005.0,2.0,1.0,55.0,2
258,Built-up  Area,Abbigere,2200.0,6.0,2.0,68.0,6
259,Built-up  Area,Abbigere,2500.0,6.0,0.0,81.0,6
260,Plot  Area,Abbigere,1200.0,4.0,1.0,98.0,5
261,Plot  Area,Abbigere,1200.0,6.0,1.0,95.0,6
262,Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2
263,Super built-up  Area,Abbigere,765.0,2.0,2.0,30.0,1
264,Super built-up  Area,Abbigere,880.0,2.0,1.0,35.0,2
265,Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2
266,Super built-up  Area,Abbigere,1005.0,2.0,1.0,39.59,2
267,Super built-up  Area,Abbigere,1260.0,2.0,1.0,45.0,3
268,Super built-up  Area,Abbigere,1020.0,2.0,1.0,41.82,2
269,Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2
270,Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2
271,Super built-up  Area,Abbigere,1130.0,2.0,1.0,46.33,2
272,Super built-up  Area,Abbigere,795.0,1.0,1.0,32.6,2
273,Super built-up  Area,Abbigere,985.0,2.0,1.0,38.92,2
274,Super built-up  Area,Abbigere,1000.0,2.0,1.0,41.0,2
275,Super built-up  Area,Abbigere,995.0,2.0,1.0,40.8,2
276,Super built-up  Area,Abbigere,1020.0,2.0,1.0,40.8,2
277,Built-up  Area,Akshaya Nagar,1280.0,2.0,2.0,58.0,2
278,Built-up  Area,Akshaya Nagar,1662.0,3.0,3.0,85.1,3
279,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
280,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
281,Built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
282,Built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,73.0,3
283,Built-up  Area,Akshaya Nagar,2650.0,3.0,2.0,125.0,3
284,Built-up  Area,Akshaya Nagar,900.0,2.0,1.0,45.0,2
285,Plot  Area,Akshaya Nagar,750.0,4.0,2.0,62.0,4
286,Plot  Area,Akshaya Nagar,2000.0,1.0,0.0,200.0,1
287,Plot  Area,Akshaya Nagar,1200.0,4.0,2.0,125.0,4
288,Super built-up  Area,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
289,Super built-up  Area,Akshaya Nagar,1070.0,2.0,1.0,54.0,2
290,Super built-up  Area,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
291,Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
292,Super built-up  Area,Akshaya Nagar,1360.0,2.0,2.0,85.0,3
293,Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,80.0,3
294,Super built-up  Area,Akshaya Nagar,1575.0,3.0,2.0,90.0,3
295,Super built-up  Area,Akshaya Nagar,1430.0,2.0,2.0,75.0,3
296,Super built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
297,Super built-up  Area,Akshaya Nagar,1200.0,2.0,1.0,50.0,2
298,Super built-up  Area,Akshaya Nagar,1092.0,2.0,1.0,60.0,2
299,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
300,Super built-up  Area,Akshaya Nagar,1700.0,3.0,1.0,80.0,3
301,Super built-up  Area,Akshaya Nagar,1897.0,4.0,2.0,93.0,3
302,Super built-up  Area,Akshaya Nagar,1884.0,3.0,3.0,98.0,3
303,Super built-up  Area,Akshaya Nagar,1314.0,2.0,2.0,68.8,2
304,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
305,Super built-up  Area,Akshaya Nagar,1265.0,2.0,3.0,67.0,2
306,Super built-up  Area,Akshaya Nagar,1126.0,2.0,1.0,55.0,2
307,Super built-up  Area,Akshaya Nagar,2300.0,4.0,3.0,102.0,3
308,Super built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,90.0,3
309,Super built-up  Area,Akshaya Nagar,1420.0,2.0,2.0,75.0,3
310,Super built-up  Area,Akshaya Nagar,1412.0,2.0,3.0,88.0,3
311,Super built-up  Area,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
312,Super built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,87.0,3
313,Super built-up  Area,Akshaya Nagar,1300.0,2.0,1.0,54.0,2
314,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
315,Super built-up  Area,Akshaya Nagar,1113.0,2.0,1.0,52.0,2
316,Super built-up  Area,Akshaya Nagar,1820.0,4.0,2.0,95.0,3
317,Super built-up  Area,Akshaya Nagar,1100.0,2.0,2.0,48.0,2
318,Super built-up  Area,Akshaya Nagar,1896.0,3.0,2.0,102.0,3
319,Super built-up  Area,Akshaya Nagar,1300.0,2.0,2.0,66.0,2
320,Super built-up  Area,Akshaya Nagar,1225.0,2.0,0.0,68.0,2
321,Super built-up  Area,Akshaya Nagar,1179.0,2.0,1.0,51.0,2
322,Super built-up  Area,Akshaya Nagar,1421.0,2.0,2.0,73.0,3
323,Super built-up  Area,Akshaya Nagar,1893.0,4.0,2.0,95.0,3
324,Built-up  Area,Ambalipura,1150.0,2.0,2.0,80.0,2
325,Built-up  Area,Ambalipura,3500.0,3.0,2.0,198.0,3
326,Built-up  Area,Ambalipura,2550.0,4.0,2.0,149.0,4
327,Built-up  Area,Ambalipura,1817.0,3.0,3.0,102.0,3
328,Built-up  Area,Ambalipura,1650.0,3.0,3.0,100.0,3
329,Super built-up  Area,Ambalipura,1105.0,2.0,1.0,75.0,2
330,Super built-up  Area,Ambalipura,1800.0,3.0,3.0,110.0,3
331,Super built-up  Area,Ambalipura,1250.0,2.0,2.0,66.25,2
332,Super built-up  Area,Ambalipura,1332.0,2.0,1.0,79.0,2
333,Super built-up  Area,Ambalipura,1730.0,3.0,1.0,120.0,3
334,Super built-up  Area,Ambalipura,1230.0,2.0,2.0,66.25,2
335,Super built-up  Area,Ambalipura,1351.0,2.0,1.0,77.0,2
336,Super built-up  Area,Ambalipura,2750.0,4.0,2.0,142.0,4
337,Super built-up  Area,Ambalipura,1303.0,2.0,2.0,80.0,2
338,Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3
339,Super built-up  Area,Ambalipura,770.0,1.0,2.0,43.82,1
340,Super built-up  Area,Ambalipura,1700.0,2.0,2.0,76.0,2
341,Super built-up  Area,Ambalipura,1060.0,2.0,1.0,58.5,2
342,Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3
